,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000001,City of London,664.0,3.5,671.8,3.2,750.3,4.0,767.8,3.5,851.9,4.0,889.4,4.4,863.7,4.7,925.4,3.4,951.0,3.7,959.3,3.4,"1,000.1",4.2,"1,076.8",3.9,"1,092.4",4.3,"1,112.0",4.0,"1,144.2",3.7,"1,041.2",4.2,"1,064.9",3.4,"1,082.3",3.2,"1,054.2",3.7,"1,108.3",3.4,"1,149.9",3.7
E09000002,Barking and Dagenham,371.0,7.6,463.0,4.3,435.0,6.9,462.4,7.1,462.7,7.9,510.0,5.4,538.2,8.2,561.6,7.7,538.1,6.5,545.5,6.3,624.7,8.9,560.5,11.0,557.3,6.9,573.9,6.1,609.6,8.4,699.7,7.0,689.8,5.9,655.6,8.9,681.0,7.6,672.0,8.5,656.1,8.3
E09000003,Barnet,380.6,7.3,413.8,7.2,429.3,7.7,478.2,6.7,464.3,8.9,451.0,11.0,530.4,7.9,548.4,7.5,597.0,7.1,587.8,8.2,531.8,8.3,530.5,9.4,603.3,5.3,651.7,6.0,615.6,6.8,642.8,8.1,632.9,6.9,675.1,8.2,655.9,7.3,640.6,6.2,657.7,8.1
E09000004,Bexley,379.4,7.3,398.6,7.2,386.6,7.7,407.1,7.9,423.4,7.8,419.8,7.3,439.0,8.3,468.2,11.0,499.3,9.5,540.5,8.6,550.2,8.9,612.7,5.4,585.8,6.3,571.7,8.2,554.0,5.9,582.2,6.4,552.6,6.7,602.1,7.0,613.2,7.5,613.0,8.3,599.6,8.2
E09000005,Brent,370.8,5.9,400.2,7.1,396.7,6.8,444.8,4.9,426.6,7.2,420.5,6.1,460.7,5.9,460.3,5.2,477.6,4.9,504.9,5.7,499.1,6.2,498.1,7.0,539.6,5.6,523.6,4.9,527.5,4.2,556.3,5.2,555.4,6.8,599.8,6.3,622.5,6.2,605.0,7.0,628.1,5.4
E09000006,Bromley,331.4,9.8,385.2,8.2,370.0,9.0,350.0,7.3,331.0,6.5,350.0,8.1,402.4,10.0,427.8,7.3,484.5,5.7,512.1,5.2,517.8,7.6,556.0,6.4,564.3,7.6,578.1,7.0,586.4,5.7,597.7,6.4,599.0,7.4,580.1,8.8,600.2,8.1,606.9,7.5,586.8,7.8
E09000007,Camden,473.1,4.2,499.0,4.5,496.0,3.7,525.3,4.0,568.3,4.7,590.2,4.2,611.8,4.0,631.8,4.0,661.6,4.6,676.0,3.3,673.1,3.5,733.3,3.4,746.9,3.0,747.6,3.6,754.4,3.7,728.3,3.0,735.8,3.1,729.2,3.0,740.8,3.9,770.6,4.0,785.8,2.8
E09000008,Croydon,405.8,4.8,411.9,4.5,425.3,4.3,447.0,3.8,441.6,5.9,488.1,4.8,510.2,4.7,522.6,4.6,518.7,5.0,546.3,4.6,536.9,4.7,566.2,5.2,572.3,4.9,574.2,4.9,620.0,4.9,618.3,4.0,655.2,5.4,604.8,5.1,611.8,5.0,643.2,5.8,653.0,6.0
E09000009,Ealing,409.0,4.2,419.5,4.5,439.4,4.7,471.9,5.6,486.7,6.3,474.6,6.0,472.0,5.3,546.1,7.0,544.2,5.4,531.3,5.2,581.2,6.6,582.0,6.2,581.3,4.9,586.5,5.0,588.5,5.7,632.2,6.3,576.5,5.0,564.7,4.6,594.2,4.8,593.4,4.8,622.7,5.2
E09000010,Enfield,387.1,5.8,408.0,5.2,415.4,6.0,461.1,5.5,496.6,5.4,473.9,5.8,464.1,5.0,560.1,5.3,500.7,9.3,540.7,6.3,485.1,7.3,520.4,8.7,554.9,6.8,574.9,6.7,553.8,6.9,585.1,7.0,516.0,7.4,539.0,6.6,538.2,7.9,581.9,6.7,615.7,9.8
E09000011,Greenwich,387.0,7.6,406.9,8.2,426.7,9.2,463.1,8.9,442.8,6.8,444.3,9.1,486.5,7.9,513.9,8.3,569.5,6.8,565.7,8.0,632.5,6.3,599.0,9.8,562.6,8.2,638.7,6.6,612.8,7.9,593.9,6.6,607.3,6.3,613.7,6.8,609.5,6.0,589.7,6.5,617.8,5.2
E09000012,Hackney,441.5,6.1,504.7,5.5,487.1,6.0,479.8,9.9,498.9,9.2,520.1,7.3,527.1,5.6,565.7,7.5,575.9,6.6,616.9,5.7,594.4,7.0,678.4,9.2,664.3,7.3,689.3,7.3,630.3,6.3,653.0,5.7,668.3,7.8,662.0,6.9,585.5,7.2,635.6,6.9,669.6,6.1
E09000013,Hammersmith and Fulham,479.9,6.2,467.8,7.2,493.8,6.9,527.8,6.4,523.6,7.7,579.8,6.0,578.8,6.7,610.7,6.3,630.1,5.0,645.0,9.4,657.4,6.4,727.5,4.9,740.2,5.1,741.4,5.8,739.0,5.7,715.6,6.9,670.3,6.8,683.3,6.1,660.5,6.4,711.4,7.0,714.2,7.8
