,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000001,City of London,540.1,2.5,561.5,2.0,623.8,3.0,658.5,2.9,691.0,3.2,719.6,3.5,736.0,3.6,777.8,3.3,805.5,3.0,831.6,2.8,843.8,3.0,903.8,3.2,919.9,3.1,936.1,3.3,969.2,3.0,919.7,2.4,945.2,2.8,928.0,3.0,926.2,2.4,958.2,2.4,989.2,2.6
E09000002,Barking and Dagenham,330.0,6.0,431.3,6.3,398.1,6.2,424.0,7.6,404.3,7.3,467.9,7.7,493.3,7.5,517.0,7.7,511.6,6.3,505.7,6.3,535.9,8.9,516.6,8.5,506.7,5.9,523.8,5.9,553.8,6.4,655.5,5.1,667.9,5.8,626.2,6.6,625.8,8.5,580.3,7.4,604.6,6.8
E09000003,Barnet,334.0,5.4,356.6,4.0,366.9,5.6,381.7,7.3,406.7,6.5,405.4,5.6,453.1,5.8,486.6,4.5,499.8,5.0,512.3,5.0,505.2,4.2,517.4,5.7,558.6,3.9,574.1,4.7,572.6,5.0,554.7,5.0,563.6,4.0,575.7,6.2,583.5,5.1,598.6,5.2,599.3,5.9
E09000004,Bexley,345.8,6.4,359.1,4.7,362.4,5.0,373.3,5.1,385.9,4.7,395.5,5.3,421.6,6.1,374.8,8.6,447.3,6.7,470.6,7.0,480.4,8.2,543.3,6.9,527.6,6.1,532.4,6.5,519.9,6.3,550.8,5.8,525.2,5.0,561.4,5.6,556.0,4.7,559.2,4.4,578.8,5.5
E09000005,Brent,334.0,5.3,362.5,4.7,366.4,5.2,407.9,5.4,402.0,5.4,403.1,4.7,430.4,5.1,431.6,4.0,450.4,3.3,490.1,3.9,481.5,4.2,494.3,5.4,524.7,4.4,510.7,3.9,512.6,3.8,537.3,4.0,546.4,4.9,561.7,4.3,574.9,5.8,572.8,4.1,576.2,4.4
E09000006,Bromley,281.6,6.0,310.0,5.6,321.9,5.2,315.1,4.8,297.5,4.1,318.2,5.7,355.3,6.3,397.6,6.4,464.7,4.1,479.8,4.3,481.7,4.9,511.4,4.9,523.8,5.1,530.6,4.6,537.0,4.7,545.8,3.9,542.8,5.6,550.1,4.9,561.5,5.0,573.0,5.3,549.0,4.1
E09000007,Camden,412.2,2.9,441.5,3.2,459.7,2.7,477.4,2.3,518.2,2.4,534.9,2.8,562.4,2.3,571.2,2.3,585.2,2.5,602.6,2.5,609.0,2.9,669.1,3.1,670.8,2.6,684.7,2.6,685.8,2.1,685.6,2.6,688.3,2.7,681.9,2.2,670.8,2.5,698.6,2.3,705.6,2.6
E09000008,Croydon,348.2,5.0,361.2,3.5,379.6,3.1,393.6,3.9,400.7,4.0,431.6,3.8,434.7,4.9,470.9,4.5,460.1,4.2,479.1,3.9,496.5,4.2,517.0,4.7,524.7,3.3,551.1,3.1,556.1,3.5,572.2,3.1,582.4,3.6,569.0,4.5,574.9,4.5,601.3,4.5,610.4,3.8
E09000009,Ealing,367.8,3.8,383.4,4.5,401.1,4.6,418.5,5.0,425.9,5.6,447.7,4.3,461.3,3.7,479.9,5.4,498.5,4.4,492.4,3.7,513.6,4.8,533.6,5.0,545.0,3.6,546.0,3.5,535.2,4.1,568.9,5.3,551.9,3.5,538.5,3.6,559.6,3.9,559.2,3.8,574.9,3.9
