Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"69,792","74,029","88,027","78,010","87,593","89,816","97,899","111,390","109,481","101,632","96,708","94,607","100,371","93,312","87,371","85,214","80,093","81,635","80,618"
E09000002,Barking and Dagenham,"33,696","35,021","36,503","36,833","37,876","39,211","38,004","37,171","40,364","38,945","39,663","38,098","37,089","39,754","38,984","37,378","37,809","38,984","31,947"
E09000003,Barnet,"32,994","36,523","36,529","41,748","41,591","41,512","41,872","40,106","41,642","42,219","41,922","39,346","36,530","35,447","35,372","35,951","35,775","36,269","36,681"
E09000004,Bexley,"30,509","32,021","33,013","32,499","33,694","33,184","37,255","37,413","38,322","38,345","38,300","35,586","35,149","33,075","34,007","32,804","34,371","33,548","33,930"
E09000005,Brent,"29,832","33,646","33,860","33,264","40,599","34,261","36,209","38,535","35,960","36,294","37,157","33,891","32,715","34,422","36,120","34,457","35,312","37,567","35,860"
E09000006,Bromley,"30,377","30,032","27,674","29,729","34,717","37,228","39,627",#,"44,183","40,884","39,906","37,919","36,310","36,321","35,757","34,430","36,298","36,292","34,455"
E09000007,Camden,"43,153","49,440","56,097","47,657","51,933","52,027","52,685","52,647","51,216","52,444","54,638","52,490","50,370","48,092","47,705","45,926","46,857","46,876","46,044"
E09000008,Croydon,"31,678","33,240","33,622","35,675","36,688","38,845","37,174","38,704","37,017","39,003","40,501","38,237","36,517","36,291","36,888","35,779","35,228",#,"35,942"
E09000009,Ealing,"35,731","37,743","41,360","40,726","41,045","41,995","42,473","41,671","43,367","43,816","41,755","39,078","38,368","37,571","34,790","33,666","32,942","35,399","36,081"
E09000010,Enfield,"29,967","35,733","38,682","37,084","34,882","41,880","36,469","37,497","36,523","35,436","37,817","36,958","35,132","34,058","31,439","30,670","31,975","33,969","33,576"
E09000011,Greenwich,"31,760","33,593","33,535","32,963","35,437","36,894","38,503","38,538","40,376","41,201","39,924","39,864","35,999","35,146","34,633","32,611","34,874","34,474","35,648"
E09000012,Hackney,"56,535",#,#,"44,665","42,296","42,951","47,091","45,230","44,649","47,790","55,743","51,569","46,504","44,014","40,901","41,410","39,480","40,450","42,457"
E09000013,Hammersmith and Fulham,"40,737","40,759","43,395","52,313","48,008","50,245","56,212","55,559","59,291","57,104","54,498","48,807","46,992","47,269","44,364","39,801","39,324","41,379","45,080"
E09000014,Haringey,"30,933",#,"30,475","32,658","33,459","35,399","35,706","38,553","36,627","38,832","36,898","37,545","33,640","34,192","33,950","34,593","34,939","33,685","35,776"
E09000015,Harrow,"32,561","35,414","37,344","36,349","38,133","40,097","40,135","39,352","39,190","38,885","37,539","37,809","35,735","34,131","33,003","30,827","32,349","35,681","40,703"
E09000016,Havering,"26,800","27,382","28,028","26,975","28,847","28,989","36,692","36,910","37,114","39,669","37,109","37,026","35,298","34,068","34,316","34,510","34,868","33,917","33,415"
E09000017,Hillingdon,"41,163","42,195","42,690","42,098","42,078","42,712","43,292","41,546","42,885","45,748","44,809","44,344","43,573","42,747","42,857","43,844","41,748","40,802","41,177"
E09000018,Hounslow,"35,097","39,185","40,350","45,026","45,413","45,853","46,843","44,489","43,277","47,904","50,577","48,071","45,458","44,719","40,355","42,678","44,332","48,862","42,990"
