Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"48,922","52,203","62,819","56,450","64,272","66,628","74,004","85,886","86,778","82,973","80,769","81,938","90,842","86,987","83,403","82,808","77,754","79,489","80,618"
E09000002,Barking and Dagenham,"23,620","24,696","26,050","26,653","27,792","29,088","28,728","28,660","31,994","31,795","33,126","32,996","33,568","37,059","37,214","36,323","36,705","37,959","31,947"
E09000003,Barnet,"23,128","25,755","26,068","30,210","30,518","30,795","31,652","30,923","33,007","34,468","35,013","34,077","33,062","33,044","33,766","34,936","34,730","35,315","36,681"
E09000004,Bexley,"21,386","22,580","23,559","23,517","24,723","24,617","28,162","28,847","30,375","31,305","31,988","30,821","31,812","30,833","32,463","31,878","33,367","32,666","33,930"
E09000005,Brent,"20,911","23,726","24,164","24,071","29,790","25,416","27,371","29,712","28,503","29,631","31,033","29,353","29,609","32,089","34,480","33,484","34,281","36,579","35,860"
E09000006,Bromley,"21,293","21,178","19,749","21,513","25,474","27,617","29,955",#,"35,021","33,378","33,329","32,841","32,863","33,859","34,133","33,458","35,238","35,338","34,455"
E09000007,Camden,"30,249","34,864","40,033","34,486","38,106","38,595","39,826","40,593","40,595","42,816","45,633","45,461","45,588","44,832","45,539","44,629","45,489","45,644","46,044"
E09000008,Croydon,"22,205","23,440","23,994","25,815","26,920","28,816","28,101","29,842","29,341","31,842","33,826","33,117","33,050","33,831","35,213","34,769","34,199",#,"35,942"
E09000009,Ealing,"25,046","26,615","29,516","29,470","30,117","31,153","32,106","32,130","34,374","35,772","34,873","33,845","34,725","35,024","33,210","32,716","31,980","34,468","36,081"
E09000010,Enfield,"21,006","25,198","27,605","26,835","25,595","31,068","27,568","28,912","28,949","28,930","31,584","32,009","31,797","31,749","30,011","29,804","31,041","33,076","33,576"
E09000011,Greenwich,"22,263","23,689","23,932","23,853","26,002","27,369","29,105","29,714","32,003","33,637","33,344","34,526","32,581","32,764","33,060","31,690","33,856","33,568","35,648"
E09000012,Hackney,"39,629",#,#,"32,321","31,035","31,862","35,597","34,874","35,390","39,016","46,556","44,663","42,089","41,030","39,044","40,241","38,327","39,387","42,457"
