Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"47,106","49,496","54,796","54,932","56,960","58,433","59,530","60,038","63,024","61,860","62,372","60,353","60,085","57,927","56,781","56,299","55,659","56,985","56,288"
E09000002,Barking and Dagenham,"30,643","32,074","31,281","34,290","34,559","35,169","35,295","34,433","38,101","36,006","37,085","32,938","31,159","35,540","33,782","33,648","34,011","31,831","28,439"
E09000003,Barnet,"27,916","30,859","29,309","31,939","32,474",#,"35,762","33,813","34,614","34,270","36,514","34,639","33,409","31,746","30,749","32,067","31,830","33,504","32,119"
E09000004,Bexley,"26,565","27,459","28,330","29,160","30,319","28,236","31,665","32,059","33,379","34,696","33,791","32,027","31,642","29,435","29,868","29,333","30,556",#,"30,611"
E09000005,Brent,"26,438","31,692","30,657","29,504","31,370","31,440","32,026","32,786","32,503","33,471","32,930","30,017","29,580","29,582","29,368","30,371","30,889","31,528","30,133"
E09000006,Bromley,"23,853","23,258","21,978","22,988","25,951","28,567","32,068","33,351","32,381","33,361","32,269","31,997","31,117","30,124","29,464","28,737","31,360","31,694","29,848"
E09000007,Camden,"33,778","36,139","38,375","37,909","40,888","41,128","41,483","42,044","41,708","43,255","43,553","42,175","39,740","39,650","38,065","37,816","38,082","38,838","38,147"
E09000008,Croydon,"27,909","30,261","29,271","31,335","31,125","32,853","32,612","33,784","32,758","33,662","33,795","33,006","32,019","31,081","32,411","32,059","31,549","32,329","32,295"
E09000009,Ealing,"29,359","31,924","33,437","33,915","33,184","36,022","36,029","34,180","34,682","36,059","33,806","33,174","31,651","33,366","31,148","29,662","29,519","30,031","30,396"
E09000010,Enfield,"27,518","31,860","33,821","34,070","30,614","36,955","32,535","32,538","33,212","31,296","33,320","31,137","29,183","29,095","27,033","26,555","27,019","29,699","28,843"
E09000011,Greenwich,"30,295","31,370","29,092","30,190","32,163","34,222","34,832","35,488","36,990","37,685","35,766","36,741","33,072","32,286","30,643","29,795","31,414","30,995","32,398"
E09000012,Hackney,"33,167","34,152","33,764","33,971","34,274","35,975","38,262","39,045","36,582","38,693","39,640","40,584","37,027","37,334","34,672","34,078","32,516","33,279","33,637"
