,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000001,City of London,428.0,2.9,453.4,3.0,493.3,2.6,527.8,2.9,546.3,2.9,558.4,3.5,575.8,3.5,586.3,3.1,608.9,3.0,627.0,3.1,643.4,2.5,671.5,3.0,689.9,2.8,718.0,3.4,738.8,3.6,751.8,2.9,747.4,3.0,749.4,2.9,766.6,2.6,796.8,3.0,799.6,2.9
E09000002,Barking and Dagenham,297.3,8.4,313.0,11.0,316.2,8.0,332.7,8.3,310.6,8.9,365.5,9.3,363.9,10.0,400.2,13.0,430.7,12.0,419.9,11.0,458.1,11.0,426.1,14.0,430.4,13.0,440.1,9.7,443.0,8.8,505.3,11.0,596.4,9.6,569.1,13.0,471.9,13.0,451.7,10.0,493.2,10.0
E09000003,Barnet,292.9,6.0,317.0,5.8,321.6,5.3,326.5,4.5,356.0,6.9,375.0,5.9,412.1,7.0,420.3,6.9,446.4,6.2,460.0,6.6,475.5,5.5,506.0,7.2,518.0,6.6,490.3,8.3,538.5,5.7,503.2,5.3,512.8,5.3,498.9,6.8,524.0,5.9,508.5,8.4,542.2,7.6
E09000004,Bexley,283.8,11.0,304.4,7.7,314.0,8.6,309.4,8.0,328.5,8.6,360.6,8.7,364.9,9.3,304.0,7.8,398.5,9.3,412.4,8.6,373.7,13.0,426.5,11.0,455.0,8.6,466.7,10.0,455.2,8.7,478.8,10.0,489.0,7.1,471.4,7.9,433.2,7.4,488.0,8.7,554.2,9.6
E09000005,Brent,295.8,6.7,321.4,6.5,323.2,7.3,324.1,9.3,357.2,10.0,375.4,9.0,377.4,8.5,401.7,7.5,433.5,5.7,459.6,7.7,446.9,7.7,461.6,9.9,502.9,5.8,497.6,8.6,484.7,7.6,494.5,7.3,533.1,8.5,533.0,6.5,527.7,12.0,527.9,6.0,468.7,10.0
E09000006,Bromley,258.0,5.9,270.9,6.7,291.4,5.7,284.2,4.6,275.7,5.5,287.8,8.0,310.3,8.3,359.3,8.1,433.0,7.6,418.9,8.0,446.3,6.2,469.5,7.3,461.8,6.3,481.2,6.3,458.6,6.4,487.5,7.2,488.7,6.0,523.2,6.1,525.0,7.1,518.5,7.6,525.7,7.2
E09000007,Camden,372.8,3.2,395.5,3.7,415.0,3.9,435.5,3.1,473.7,2.8,480.2,3.3,499.0,3.7,508.6,3.9,515.6,2.6,544.8,3.2,536.6,3.5,590.1,3.3,603.4,2.4,619.1,3.1,618.8,2.8,645.2,2.8,632.4,3.4,643.3,2.8,623.0,2.2,629.2,3.1,628.6,3.0
E09000008,Croydon,296.8,6.9,298.2,6.6,306.6,5.2,317.0,5.2,343.4,5.8,366.9,5.0,356.0,5.7,398.1,6.8,382.8,6.0,406.5,6.7,426.2,6.4,427.7,7.4,458.1,5.3,489.1,5.7,496.2,4.7,488.9,5.2,497.3,5.9,507.3,6.9,513.7,6.9,520.3,6.2,555.5,5.6
E09000009,Ealing,312.2,5.0,326.0,6.5,341.7,5.3,348.8,5.3,369.3,6.2,395.2,7.0,425.7,6.3,434.4,6.2,448.3,6.7,448.0,5.1,460.4,6.1,475.7,6.2,502.5,4.6,507.5,5.1,481.0,5.6,510.0,6.3,518.8,5.9,514.6,5.5,508.5,6.6,492.7,6.9,502.6,5.7
