Year,London,,,,,,,,,,,,United Kingdom,,,,,,,,,,
,All,,,,Full-time,,,,Part-time,,,,All,,,,Full-time,,,,Part-time,,
,Male Hourly Pay (£),Female Hourly Pay (£),Pay Gap (%),,Male Hourly Pay (£),Female Hourly Pay (£),Pay Gap (%),,Male Hourly Pay (£),Female Hourly Pay (£),Pay Gap (%),,Male Hourly Pay (£),Female Hourly Pay (£),Pay Gap (%),,Male Hourly Pay (£),Female Hourly Pay (£),Pay Gap (%),,Male Hourly Pay (£),Female Hourly Pay (£),Pay Gap (%)
1997,13.84,10.03,27.5,,14.01,10.52,24.9,,9.03,7.59,15.9,,10.01,7.48,25.3,,10.10,8.01,20.7,,7.07,5.87,17.0
1998,14.54,10.48,27.9,,14.75,11.00,25.4,,8.74,8.00,8.5,,10.54,7.83,25.7,,10.65,8.39,21.2,,7.25,6.19,14.6
1999,15.14,10.98,27.5,,15.37,11.57,24.7,,9.52,8.33,12.5,,10.98,8.23,25.0,,11.10,8.83,20.5,,7.58,6.49,14.4
2000,16.08,11.57,28.0,,16.32,12.27,24.8,,9.86,8.46,14.2,,11.40,8.56,24.9,,11.53,9.20,20.2,,7.60,6.78,10.8
2001,17.06,12.25,28.2,,17.34,13.08,24.6,,10.16,8.48,16.5,,12.08,9.07,24.9,,12.24,9.79,20.0,,7.79,7.04,9.6
2002,18.20,13.04,28.4,,18.48,13.92,24.7,,12.46,9.32,25.2,,12.77,9.55,25.2,,12.92,10.32,20.1,,8.88,7.42,16.4
2003,18.65,13.48,27.7,,18.90,14.25,24.6,,13.34,10.22,23.4,,13.12,9.95,24.2,,13.28,10.70,19.4,,9.21,7.85,14.8
2004,18.71,13.90,25.7,,19.01,14.66,22.9,,12.71,10.48,17.5,,13.34,10.34,22.5,,13.52,11.12,17.8,,9.32,8.17,12.3
2005,19.71,14.59,26.0,,20.05,15.25,23.9,,13.29,11.58,12.9,,13.85,10.89,21.4,,14.05,11.65,17.1,,10.17,8.77,13.8
2006,20.16,15.01,25.5,,20.51,15.66,23.6,,13.35,11.81,11.5,,14.38,11.30,21.4,,14.58,12.02,17.6,,10.61,9.21,13.2
2007,20.53,15.60,24.0,,20.86,16.23,22.2,,14.12,12.50,11.5,,14.75,11.69,20.7,,14.95,12.42,16.9,,11.11,9.60,13.6
2008,21.82,16.03,26.5,,22.21,16.72,24.7,,14.43,12.61,12.6,,15.42,12.14,21.3,,15.63,12.92,17.3,,11.62,9.86,15.1
2009,22.06,16.79,23.9,,22.45,17.46,22.2,,15.28,13.54,11.4,,15.83,12.64,20.2,,16.07,13.44,16.4,,11.78,10.39,11.8
2010,22.49,17.05,24.2,,22.95,17.78,22.5,,14.67,13.55,7.6,,16.01,12.92,19.3,,16.27,13.75,15.5,,11.86,10.61,10.5
2011,23.23,17.26,25.7,,23.70,18.08,23.7,,15.38,13.35,13.2,,16.14,12.98,19.6,,16.43,13.82,15.9,,11.88,10.70,9.9
2012,22.61,17.66,21.9,,23.11,18.48,20.0,,14.54,13.64,6.2,,16.20,13.19,18.6,,16.52,14.07,14.8,,11.58,10.79,6.8
2013,23.01,17.60,23.5,,23.62,18.36,22.3,,13.05,13.95,-6.9,,16.58,13.41,19.1,,16.92,14.26,15.7,,11.59,11.06,4.6
2014,22.72,17.77,21.8,,23.35,18.55,20.6,,12.84,13.97,-8.8,,16.45,13.54,17.7,,16.79,14.40,14.2,,11.63,11.17,4.0
2015,22.49,17.54,22.0,,23.09,18.32,20.7,,13.01,13.76,-5.8,,16.59,13.66,17.7,,16.96,14.57,14.1,,11.37,11.14,2.0
2016,23.08,18.05,21.8,,23.60,18.79,20.4,,15.06,14.41,4.3,,17.10,14.11,17.5,,17.43,14.97,14.1,,12.30,11.67,5.1
2017,24.01,18.88,21.4,,24.58,19.66,20.0,,15.08,15.02,0.4,,17.54,14.52,17.2,,17.88,15.42,13.8,,12.57,11.99,4.6
2018 (p),24.95,19.61,21.4,,25.49,20.42,19.9,,16.71,15.48,7.4,,18.13,15.04,17.0,,18.48,15.95,13.7,,13.45,12.45,7.4
